workload,policy,run,generated_token_s,ttft_p95_ms,tpot_p95_ms,e2e_p95_ms,initial_pending_requests,growth_limit_median,growth_limit_max,growth_owners_median,growth_owners_max
bimodal,full,1,1493.5534819326683,21354.441399999992,17.8363698409,24329.80049955,233,32,32,0,0
bimodal,full,2,1493.3413827229922,21359.307949999995,17.81130079335,24333.907000799998,233,32,32,0,0
bimodal,full,3,1487.7405512234286,21454.266099999997,17.8868984128,24433.0317589,233,32,32,0,0
bimodal,bounded1_adaptive_l1_l32_target10ms,1,1629.8976285290223,19670.40095,19.857508510749998,21870.466793649997,231,32,32,31,32
bimodal,bounded1_adaptive_l1_l32_target10ms,2,1641.6968795012413,19422.67559999999,20.1023180851,21659.543558849997,231,32,32,31,32
bimodal,bounded1_adaptive_l1_l32_target10ms,3,1635.3155066454597,19506.738949999995,20.1849263216,21749.060884199997,231,32,32,31,32
long-prefill,full,1,912.2281018303742,24269.0907,18.66498404275,25875.157888799997,253,32,32,0,0
long-prefill,bounded1_adaptive_l1_l32_target10ms,1,808.6492370408349,28633.49625,19.09163012065,29389.71776885,252,32,32,31,32
