iteration,mode,makespan_ms,prefill_ms,decode_ms,overlap_fraction
52,sequential,99.416061,74.060799,25.352192,0.000000
52,concurrent,86.975555,82.345955,35.361794,0.261089
53,concurrent,86.842369,81.903358,35.259392,0.258789
53,sequential,99.331070,74.049667,25.277569,0.000000
54,sequential,99.386368,74.095619,25.287680,0.000000
54,concurrent,87.033920,81.944572,35.457024,0.258665
55,concurrent,86.976929,82.081795,35.371010,0.259473
55,sequential,99.617790,74.301437,25.313280,0.000000
56,sequential,99.369987,74.080254,25.286655,0.000000
56,concurrent,87.023613,81.927170,35.426304,0.258449
57,concurrent,86.877502,81.945602,35.323902,0.259164
57,sequential,99.392509,74.109955,25.279488,0.000000
58,sequential,99.364861,74.087425,25.274368,0.000000
58,concurrent,86.900864,82.207741,35.332096,0.260669
59,concurrent,86.843391,81.969154,35.317760,0.259565
59,sequential,99.382271,74.087425,25.292160,0.000000
60,sequential,99.806206,74.301437,25.502081,0.000000
60,concurrent,87.188797,82.320381,35.327999,0.258904
61,concurrent,86.900734,81.961983,35.274754,0.258759
61,sequential,99.415039,74.105858,25.306112,0.000000
62,sequential,99.367935,74.084351,25.280512,0.000000
62,concurrent,87.014496,82.128899,35.433472,0.259844
63,concurrent,87.042046,82.220032,35.475456,0.260447
63,sequential,99.383293,74.100739,25.279488,0.000000
64,sequential,99.350525,74.067970,25.279488,0.000000
64,concurrent,87.031998,81.694397,35.429375,0.256923
65,concurrent,86.895615,81.951363,35.298306,0.258884
65,sequential,99.387390,74.048515,25.336063,0.000000
66,sequential,99.466240,74.163200,25.299969,0.000000
66,concurrent,87.027901,81.929024,35.416065,0.258359
67,concurrent,86.935875,82.008064,35.279873,0.258782
67,sequential,99.336189,74.034180,25.299105,0.000000
68,sequential,99.357697,74.059776,25.294847,0.000000
68,concurrent,86.974525,82.232323,35.405823,0.260661
69,concurrent,87.012802,82.446335,35.421185,0.261775
69,sequential,99.401726,74.112000,25.285631,0.000000
70,sequential,99.369987,74.079231,25.287968,0.000000
70,concurrent,86.848610,82.034691,35.296257,0.259798
71,concurrent,86.988930,82.060287,35.409920,0.259481
71,sequential,99.475456,74.191872,25.280512,0.000000
72,sequential,99.571709,74.280960,25.286655,0.000000
72,concurrent,87.724030,82.873055,35.806210,0.260831
73,concurrent,86.850685,82.158371,35.302399,0.260598
73,sequential,99.403778,74.116096,25.284609,0.000000
74,sequential,99.361794,74.067970,25.290752,0.000000
74,concurrent,87.079933,81.730560,35.510273,0.257256
75,concurrent,87.078911,82.148354,35.501057,0.259844
75,sequential,99.386368,74.088448,25.294209,0.000000
76,sequential,99.367935,74.063873,25.301216,0.000000
76,concurrent,86.873245,81.978371,35.260414,0.259006
77,concurrent,86.841698,81.904640,35.269630,0.258867
77,sequential,99.399681,74.106880,25.288704,0.000000
78,sequential,99.389442,74.082306,25.304289,0.000000
78,concurrent,86.868996,82.010109,35.301376,0.259501
79,concurrent,87.022591,82.157570,35.403774,0.259769
79,sequential,99.352577,74.051582,25.297920,0.000000
80,sequential,99.378174,74.090492,25.284897,0.000000
80,concurrent,87.134430,81.839104,35.516415,0.257517
81,concurrent,86.842369,82.059265,35.262463,0.259793
81,sequential,99.368958,74.084351,25.281536,0.000000
82,sequential,99.346436,74.058754,25.284609,0.000000
82,concurrent,86.939682,82.118652,35.379200,0.260074
83,concurrent,86.815742,82.125504,35.216385,0.260147
83,sequential,99.423233,74.123260,25.296896,0.000000
84,sequential,99.397629,74.092545,25.302015,0.000000
84,concurrent,86.942719,81.998627,35.382271,0.259311
85,concurrent,86.901756,82.027229,35.278847,0.259188
85,sequential,99.550209,74.196991,25.350143,0.000000
86,sequential,99.417091,74.134590,25.279743,0.000000
86,concurrent,86.926338,82.069504,35.327999,0.259556
87,concurrent,87.114113,81.986557,35.523582,0.258667
87,sequential,100.378624,74.994690,25.380863,0.000000
88,sequential,99.998718,74.587135,25.408512,0.000000
88,concurrent,87.653374,82.536446,35.430401,0.256966
89,concurrent,87.573502,82.206718,35.679234,0.257134
89,sequential,99.920898,74.541054,25.376801,0.000000
90,sequential,99.912704,74.546173,25.363457,0.000000
90,concurrent,87.347389,82.545219,35.411968,0.259499
91,concurrent,87.358627,82.410141,35.445759,0.258767
91,sequential,100.019203,74.645508,25.370655,0.000000
92,sequential,99.929085,74.549248,25.377119,0.000000
92,concurrent,87.353378,82.447357,35.463169,0.259155
93,concurrent,87.377922,82.507774,35.452927,0.259262
93,sequential,100.020226,74.604675,25.411585,0.000000
94,sequential,99.918846,74.546173,25.368576,0.000000
94,concurrent,88.049667,82.937859,35.473408,0.256408
95,concurrent,87.317505,82.573311,35.348480,0.259530
95,sequential,99.991554,74.610687,25.377792,0.000000
96,sequential,99.940353,74.568703,25.368576,0.000000
96,concurrent,87.517181,82.811905,35.622913,0.261052
97,concurrent,87.379395,82.420670,35.512321,0.259076
97,sequential,99.932159,74.562561,25.366528,0.000000
98,sequential,99.950592,74.575874,25.370625,0.000000
98,concurrent,87.453056,82.733055,35.508224,0.260385
99,concurrent,87.881119,82.928642,35.687584,0.259114
99,sequential,99.929085,74.558525,25.367584,0.000000
