iteration,mode,makespan_ms,prefill_ms,decode_ms,overlap_fraction
0,sequential,207.144958,199.254211,7.887872,0.000000
0,concurrent,201.718521,201.713470,43.235329,0.176487
1,concurrent,202.462906,202.458115,43.336704,0.176293
1,sequential,207.342468,199.602173,7.737344,0.000000
2,sequential,206.380035,198.551559,7.823360,0.000000
2,concurrent,202.004227,202.000061,43.266048,0.176388
3,concurrent,202.263367,202.260483,43.234303,0.176099
3,sequential,207.016602,199.299072,7.712768,0.000000
4,sequential,206.564346,198.704132,7.856128,0.000000
4,concurrent,201.950211,201.946106,43.142143,0.176010
5,concurrent,202.035004,202.031097,43.693054,0.177798
5,sequential,206.627487,198.908936,7.712768,0.000000
6,sequential,206.908417,199.098373,7.806976,0.000000
6,concurrent,202.342407,202.338974,43.314175,0.176309
7,concurrent,202.245377,202.241913,43.329536,0.176430
7,sequential,206.738205,199.042053,7.693312,0.000000
8,sequential,206.718979,198.957062,7.758848,0.000000
8,concurrent,202.532135,202.527527,43.149311,0.175616
9,concurrent,202.275833,202.271515,43.076607,0.175556
9,sequential,206.945862,199.218170,7.724032,0.000000
10,sequential,207.222778,199.459839,7.759872,0.000000
10,concurrent,202.093567,202.089478,42.942463,0.175236
11,concurrent,202.524673,202.520569,43.631615,0.177238
11,sequential,207.209473,199.446533,7.759872,0.000000
12,sequential,207.255554,199.521286,7.731200,0.000000
12,concurrent,201.887741,201.883682,43.521023,0.177327
13,concurrent,202.557159,202.553055,43.572224,0.177016
13,sequential,207.234055,199.469055,7.760896,0.000000
14,sequential,206.901245,199.142395,7.756000,0.000000
14,concurrent,202.745789,202.737595,42.685440,0.173893
15,concurrent,202.766342,202.763260,43.482113,0.176568
15,sequential,207.269791,199.504898,7.760896,0.000000
16,sequential,206.897156,199.192581,7.700480,0.000000
16,concurrent,202.528580,202.522629,42.977280,0.175036
17,concurrent,202.824707,202.821625,43.564034,0.176800
17,sequential,207.575974,199.800827,7.772160,0.000000
18,sequential,206.948349,199.226364,7.718912,0.000000
18,concurrent,202.079163,202.074112,42.921986,0.175174
19,concurrent,202.878983,202.874786,44.003326,0.178222
19,sequential,207.390396,199.573502,7.814144,0.000000
20,sequential,206.876678,199.122940,7.750656,0.000000
20,concurrent,202.125305,202.119263,43.084801,0.175685
21,concurrent,203.114212,203.111267,43.646976,0.176870
21,sequential,207.443970,199.621765,7.819264,0.000000
22,sequential,207.058945,199.307266,7.748608,0.000000
22,concurrent,202.487808,202.483719,43.031551,0.175254
23,concurrent,202.737671,202.733566,43.615231,0.177030
23,sequential,207.459015,199.665787,7.790592,0.000000
24,sequential,207.073273,199.356415,7.712768,0.000000
24,concurrent,202.496002,202.490875,43.633663,0.177262
25,concurrent,202.922562,202.919556,43.645950,0.177003
25,sequential,207.447037,199.672836,7.771136,0.000000
26,sequential,206.690308,198.907898,7.779360,0.000000
26,concurrent,202.566650,202.562561,43.738113,0.177564
27,concurrent,203.077637,203.074203,43.721729,0.177144
27,sequential,207.496185,199.709702,7.783424,0.000000
28,sequential,207.096542,199.376190,7.717888,0.000000
28,concurrent,202.482681,202.478271,43.202560,0.175830
29,concurrent,202.934174,202.931046,43.533314,0.176619
29,sequential,207.287292,199.506943,7.777600,0.000000
30,sequential,207.295486,199.579651,7.712768,0.000000
30,concurrent,202.314758,202.309631,43.576321,0.177201
31,concurrent,203.177979,203.173859,44.232704,0.178769
31,sequential,207.226883,199.450623,7.773184,0.000000
32,sequential,207.028931,199.295044,7.730176,0.000000
32,concurrent,202.336258,202.331329,43.191296,0.175896
33,concurrent,202.809341,202.805252,44.087296,0.178552
33,sequential,207.378433,199.594269,7.780352,0.000000
34,sequential,207.492096,199.740799,7.747584,0.000000
34,concurrent,202.615616,202.608643,42.730495,0.174141
35,concurrent,202.721283,202.718201,43.432961,0.176436
35,sequential,207.432709,199.628799,7.800832,0.000000
36,sequential,207.360794,199.631866,7.724032,0.000000
36,concurrent,202.376190,202.371872,42.966015,0.175112
37,concurrent,202.834915,202.831833,43.496449,0.176567
37,sequential,207.304703,199.493637,7.806976,0.000000
38,sequential,207.478531,199.743484,7.732288,0.000000
38,concurrent,202.305542,202.302170,43.418625,0.176685
39,concurrent,202.521606,202.518524,43.495422,0.176788
39,sequential,207.383545,199.621628,7.757824,0.000000
40,sequential,207.281158,199.535614,7.742464,0.000000
40,concurrent,202.220474,202.216446,43.097088,0.175665
41,concurrent,203.038300,203.034622,43.529217,0.176529
41,sequential,207.385605,199.630844,7.751680,0.000000
42,sequential,207.605759,199.844864,7.757824,0.000000
42,concurrent,202.604538,202.599457,43.228161,0.175827
43,concurrent,202.315781,202.312698,43.510784,0.176988
43,sequential,207.186951,199.418884,7.764992,0.000000
44,sequential,207.464447,199.647232,7.814336,0.000000
44,concurrent,202.653473,202.647552,42.724354,0.174097
45,concurrent,202.647552,202.644577,43.190273,0.175676
45,sequential,207.084549,199.315460,7.766016,0.000000
46,sequential,207.570938,199.790588,7.775232,0.000000
46,concurrent,202.708801,202.702850,43.193344,0.175633
47,concurrent,202.642426,202.639206,43.288574,0.176008
47,sequential,207.259644,199.490555,7.766016,0.000000
48,sequential,207.128220,199.357849,7.766016,0.000000
48,concurrent,202.584671,202.579971,43.026432,0.175165
49,concurrent,202.747910,202.742783,42.981377,0.174896
49,sequential,207.138809,199.376892,7.758848,0.000000
50,sequential,207.701950,199.914490,7.784448,0.000000
50,concurrent,202.828796,202.822662,42.888191,0.174522
51,concurrent,202.597351,202.593155,43.507713,0.176771
51,sequential,206.849030,199.063553,7.782400,0.000000
52,sequential,207.238052,199.434235,7.800832,0.000000
52,concurrent,202.763077,202.757980,44.255234,0.179141
53,concurrent,202.484512,202.480453,43.363327,0.176369
53,sequential,206.877411,199.145477,7.729152,0.000000
54,sequential,207.203323,199.443451,7.756800,0.000000
54,concurrent,202.662598,202.657379,43.228161,0.175785
55,concurrent,202.494980,202.490875,43.447296,0.176643
55,sequential,207.305313,199.556091,7.745536,0.000000
56,sequential,207.738464,199.967743,7.767040,0.000000
56,concurrent,202.710785,202.706726,43.253761,0.175840
57,concurrent,202.653564,202.650299,43.940865,0.178180
57,sequential,207.087616,199.306244,7.778304,0.000000
58,sequential,207.663773,199.875580,7.784448,0.000000
58,concurrent,202.619781,202.614655,43.087872,0.175345
59,concurrent,202.384003,202.380295,43.464703,0.176782
59,sequential,207.104004,199.337982,7.762944,0.000000
60,sequential,207.485764,199.703552,7.779328,0.000000
60,concurrent,202.656357,202.650620,43.188225,0.175654
61,concurrent,202.912445,202.906265,42.986496,0.174793
61,sequential,207.064056,199.336960,7.723008,0.000000
62,sequential,207.336441,199.575546,7.757824,0.000000
62,concurrent,202.427399,202.423294,42.551296,0.173680
63,concurrent,202.608643,202.604538,43.682816,0.177349
63,sequential,207.088577,199.365723,7.719936,0.000000
64,sequential,207.465469,199.709702,7.752704,0.000000
64,concurrent,203.044006,203.039749,43.215874,0.175475
65,concurrent,202.598404,202.595322,43.287552,0.176037
65,sequential,207.373978,199.633926,7.736320,0.000000
66,sequential,207.259293,199.468033,7.786496,0.000000
66,concurrent,202.953598,202.947586,42.985474,0.174761
