iteration,mode,makespan_ms,prefill_ms,decode_ms,overlap_fraction
0,sequential,31.176607,25.300991,5.872640,0.000000
0,concurrent,27.725824,27.721344,11.029504,0.284510
1,concurrent,28.085249,28.081408,10.995712,0.281287
1,sequential,31.086432,25.213120,5.870592,0.000000
2,sequential,30.932993,25.090048,5.839872,0.000000
2,concurrent,27.564032,27.559711,10.923008,0.283730
3,concurrent,28.200960,28.198561,11.057152,0.281609
3,sequential,31.028992,25.172993,5.852160,0.000000
4,sequential,30.940767,25.087999,5.848064,0.000000
4,concurrent,27.701248,27.696129,11.315200,0.289918
5,concurrent,27.994112,27.991680,10.988544,0.281838
5,sequential,31.038431,25.187328,5.848064,0.000000
6,sequential,30.886528,25.033728,5.849088,0.000000
6,concurrent,27.992800,27.987968,10.897408,0.280120
7,concurrent,27.832319,27.829792,11.003904,0.283295
7,sequential,31.463200,25.606144,5.853184,0.000000
8,sequential,30.861280,25.014273,5.841920,0.000000
8,concurrent,27.855104,27.850752,11.207680,0.286835
9,concurrent,27.865791,27.863008,10.904576,0.281209
9,sequential,31.201281,25.329664,5.868544,0.000000
10,sequential,30.991360,25.144320,5.842944,0.000000
10,concurrent,27.941759,27.935743,10.997760,0.282321
11,concurrent,27.826176,27.823105,10.936320,0.282080
11,sequential,31.171232,25.304064,5.864448,0.000000
12,sequential,30.998528,25.147264,5.848064,0.000000
12,concurrent,28.120447,28.115969,11.028480,0.281624
13,concurrent,27.821056,27.817663,10.936320,0.282111
13,sequential,31.176704,25.265152,5.908480,0.000000
14,sequential,30.984064,25.134081,5.847040,0.000000
14,concurrent,27.860640,27.855871,10.843136,0.280068
15,concurrent,27.752447,27.749056,11.121664,0.286032
15,sequential,31.064064,25.158655,5.902336,0.000000
16,sequential,31.064896,25.216000,5.844992,0.000000
16,concurrent,27.739073,27.735008,10.993664,0.283759
17,concurrent,27.944511,27.941568,11.373568,0.289217
17,sequential,31.059839,25.177088,5.879808,0.000000
18,sequential,31.069183,25.212929,5.852576,0.000000
18,concurrent,27.746176,27.742081,10.881024,0.281617
19,concurrent,28.774401,28.769279,11.153408,0.279247
19,sequential,31.118336,25.257984,5.857280,0.000000
20,sequential,31.072256,25.223167,5.843968,0.000000
20,concurrent,27.746143,27.741953,10.881024,0.281616
21,concurrent,28.096512,28.093409,11.183104,0.284648
21,sequential,31.086336,25.223265,5.860352,0.000000
22,sequential,31.122433,25.269247,5.850112,0.000000
22,concurrent,27.814913,27.809441,10.859520,0.280692
23,concurrent,28.248064,28.244991,11.002880,0.280265
23,sequential,31.040257,25.180161,5.857280,0.000000
24,sequential,30.959167,25.095072,5.860352,0.000000
24,concurrent,27.790943,27.786016,10.882048,0.281295
25,concurrent,28.028448,28.025663,10.971136,0.281263
25,sequential,31.052799,25.193472,5.856256,0.000000
26,sequential,30.835712,24.992767,5.838848,0.000000
26,concurrent,27.874176,27.869184,10.926080,0.281506
27,concurrent,27.930624,27.927328,10.915840,0.280939
27,sequential,31.069183,25.210880,5.854208,0.000000
28,sequential,30.819328,24.973312,5.840896,0.000000
28,concurrent,27.754400,27.750401,11.047936,0.284650
29,concurrent,27.768448,27.764992,10.824704,0.280418
