iteration,mode,makespan_ms,prefill_ms,decode_ms,overlap_fraction
52,sequential,24.258400,18.561024,5.694464,0.000000
52,concurrent,21.352064,21.348192,8.682496,0.288992
53,concurrent,21.274689,21.272257,8.718336,0.290621
53,sequential,24.249985,18.551840,5.695488,0.000000
54,sequential,24.298496,18.598911,5.696736,0.000000
54,concurrent,21.059584,21.055264,8.867840,0.296210
55,concurrent,21.300224,21.297152,8.658944,0.288952
55,sequential,24.246271,18.552832,5.689792,0.000000
56,sequential,24.256512,18.552832,5.700608,0.000000
56,concurrent,21.089279,21.085056,8.872960,0.296039
57,concurrent,21.192703,21.190208,8.770560,0.292652
57,sequential,24.242176,18.545664,5.693440,0.000000
58,sequential,24.307327,18.591743,5.712896,0.000000
58,concurrent,21.252096,21.246977,8.743936,0.291382
59,concurrent,21.372929,21.370527,8.712192,0.289528
59,sequential,24.505344,18.765823,5.736448,0.000000
60,sequential,24.338432,18.647039,5.688320,0.000000
60,concurrent,21.263231,21.258528,8.909824,0.295181
61,concurrent,21.188608,21.185568,8.701952,0.291055
61,sequential,24.253441,18.561024,5.688416,0.000000
62,sequential,24.256512,18.568192,5.685248,0.000000
62,concurrent,21.123743,21.118368,8.911872,0.296584
63,concurrent,21.083136,21.080065,8.888320,0.296487
63,sequential,24.253088,18.568192,5.682176,0.000000
64,sequential,24.266752,18.557953,5.704704,0.000000
64,concurrent,21.141504,21.136383,8.645632,0.290125
65,concurrent,21.287935,21.284191,8.702976,0.290098
65,sequential,24.233984,18.555904,5.675200,0.000000
66,sequential,24.258560,18.556929,5.697536,0.000000
66,concurrent,21.256767,21.251936,8.707072,0.290472
67,concurrent,21.298912,21.295904,8.744960,0.291002
67,sequential,24.548351,18.777184,5.768384,0.000000
68,sequential,24.544928,18.837503,5.704704,0.000000
68,concurrent,21.366560,21.360865,8.743936,0.290261
69,concurrent,21.209791,21.206911,8.764416,0.292331
69,sequential,24.297056,18.612225,5.681440,0.000000
70,sequential,24.324961,18.624512,5.697536,0.000000
70,concurrent,21.104639,21.099648,8.848384,0.295291
71,concurrent,21.310465,21.307936,8.740864,0.290805
71,sequential,24.249344,18.553247,5.692416,0.000000
72,sequential,24.264704,18.578432,5.683200,0.000000
72,concurrent,21.288769,21.284544,8.815616,0.292736
73,concurrent,21.226624,21.223328,8.734720,0.291455
73,sequential,24.271872,18.571264,5.696512,0.000000
74,sequential,24.291904,18.586624,5.700736,0.000000
74,concurrent,21.198849,21.194080,8.872960,0.294947
75,concurrent,21.014273,21.011328,8.862720,0.296571
75,sequential,24.457216,18.690048,5.764096,0.000000
76,sequential,24.305664,18.595840,5.706752,0.000000
76,concurrent,21.234207,21.229568,8.637440,0.289041
77,concurrent,21.333887,21.331104,8.648704,0.288391
77,sequential,24.256512,18.564096,5.689344,0.000000
78,sequential,24.267776,18.574335,5.689824,0.000000
78,concurrent,21.207617,21.202593,8.632320,0.289168
79,concurrent,21.264160,21.261312,8.772608,0.291995
79,sequential,24.248320,18.549761,5.695488,0.000000
80,sequential,24.248928,18.544640,5.700608,0.000000
80,concurrent,21.308416,21.303583,8.693760,0.289657
81,concurrent,21.229120,21.225344,8.837120,0.293833
81,sequential,24.289215,18.566240,5.720064,0.000000
82,sequential,24.242945,18.542591,5.697536,0.000000
82,concurrent,21.180416,21.175297,8.721408,0.291547
83,concurrent,21.372736,21.369696,8.885248,0.293579
83,sequential,24.238655,18.553856,5.681152,0.000000
84,sequential,24.364033,18.676767,5.684416,0.000000
84,concurrent,21.266432,21.261312,8.633344,0.288621
85,concurrent,21.301985,21.299200,8.629248,0.288236
85,sequential,24.241152,18.547712,5.690368,0.000000
86,sequential,24.257536,18.550049,5.704960,0.000000
86,concurrent,21.332993,21.328896,8.698880,0.289558
87,concurrent,21.233791,21.230593,8.890368,0.295049
87,sequential,24.246271,18.553185,5.690368,0.000000
88,sequential,24.249056,18.561024,5.685248,0.000000
88,concurrent,21.506048,21.500929,8.826880,0.290880
89,concurrent,21.243551,21.240768,8.716288,0.290867
89,sequential,24.271648,18.561024,5.707776,0.000000
90,sequential,24.249920,18.548737,5.697600,0.000000
90,concurrent,21.243521,21.238337,8.699904,0.290422
91,concurrent,21.378048,21.373953,8.701952,0.289197
91,sequential,24.239103,18.534689,5.701632,0.000000
92,sequential,24.225792,18.550783,5.671936,0.000000
92,concurrent,21.200895,21.196768,8.701952,0.290910
93,concurrent,21.218304,21.215233,8.856576,0.294412
93,sequential,24.235008,18.552832,5.679424,0.000000
94,sequential,24.261633,18.558975,5.699584,0.000000
94,concurrent,21.300064,21.294847,8.818688,0.292675
95,concurrent,21.206017,21.203648,8.758272,0.292234
95,sequential,24.277632,18.562048,5.712896,0.000000
96,sequential,24.242176,18.541569,5.697536,0.000000
96,concurrent,21.190657,21.186560,8.799232,0.293310
97,concurrent,21.319679,21.315584,8.774656,0.291475
97,sequential,24.226816,18.538496,5.685248,0.000000
98,sequential,24.241152,18.565121,5.672960,0.000000
98,concurrent,21.162081,21.157888,8.652800,0.290118
99,concurrent,21.263359,21.260288,8.718336,0.290716
99,sequential,24.255457,18.559999,5.692416,0.000000
