iteration,mode,makespan_ms,prefill_ms,decode_ms,overlap_fraction
0,sequential,110.787361,103.284737,7.499776,0.000000
0,concurrent,105.743362,105.740288,25.303040,0.193066
1,concurrent,106.429443,106.425346,25.211905,0.191495
1,sequential,110.924797,103.427071,7.494656,0.000000
2,sequential,110.428093,102.953987,7.471104,0.000000
2,concurrent,105.793533,105.788063,25.137152,0.191954
3,concurrent,106.209053,106.205566,25.808895,0.195474
3,sequential,110.788605,103.341057,7.444480,0.000000
4,sequential,110.761986,103.245827,7.513088,0.000000
4,concurrent,106.300446,106.296127,25.417728,0.192944
5,concurrent,106.094589,106.091454,25.206783,0.191957
5,sequential,110.716927,103.186432,7.527424,0.000000
6,sequential,110.823036,103.337982,7.481344,0.000000
6,concurrent,105.916412,105.911293,25.061377,0.191309
7,concurrent,106.407715,106.404861,24.875008,0.189459
7,sequential,110.883842,103.363586,7.516160,0.000000
8,sequential,110.602882,103.139328,7.458816,0.000000
8,concurrent,105.968193,105.964317,25.575424,0.194402
9,concurrent,106.303200,106.299133,24.930304,0.189944
9,sequential,110.862335,103.371773,7.485440,0.000000
10,sequential,110.677917,103.123970,7.548928,0.000000
10,concurrent,106.489853,106.482880,24.859648,0.189220
11,concurrent,106.218430,106.213951,25.009151,0.190551
11,sequential,111.048706,103.539711,7.505920,0.000000
12,sequential,110.554977,103.048195,7.503872,0.000000
12,concurrent,106.098686,106.095200,25.345024,0.192799
13,concurrent,106.263138,106.260254,25.248768,0.191971
13,sequential,110.958366,103.434242,7.520672,0.000000
14,sequential,110.886909,103.331841,7.552000,0.000000
14,concurrent,106.116096,106.110977,25.238527,0.192109
15,concurrent,106.233856,106.229759,25.195520,0.191679
15,sequential,111.088387,103.585793,7.499776,0.000000
16,sequential,110.755676,103.226372,7.526400,0.000000
16,concurrent,105.833473,105.828606,25.415680,0.193615
17,concurrent,106.210175,106.207230,25.806849,0.195463
17,sequential,111.091713,103.646210,7.442432,0.000000
18,sequential,110.765633,103.241730,7.520256,0.000000
18,concurrent,106.864548,106.860542,25.426945,0.192180
19,concurrent,106.248192,106.245117,25.356289,0.192652
19,sequential,111.156227,103.634941,7.518208,0.000000
20,sequential,110.991005,103.442429,7.544832,0.000000
20,concurrent,106.414818,106.411011,25.246719,0.191731
21,concurrent,106.579971,106.576866,25.288704,0.191753
21,sequential,111.005501,103.426048,7.575552,0.000000
22,sequential,110.981758,103.479294,7.498752,0.000000
22,concurrent,106.343422,106.338303,25.465857,0.193171
23,concurrent,106.562943,106.559265,25.289728,0.191780
23,sequential,111.168510,103.660545,7.504896,0.000000
24,sequential,111.005699,103.440445,7.562240,0.000000
24,concurrent,106.160126,106.155998,24.983553,0.190480
25,concurrent,106.394623,106.391235,25.619455,0.194045
25,sequential,111.179779,103.724030,7.452672,0.000000
26,sequential,111.190590,103.570435,7.615488,0.000000
26,concurrent,106.710014,106.704063,25.108480,0.190441
27,concurrent,106.548225,106.544800,25.411585,0.192550
