iteration,mode,makespan_ms,prefill_ms,decode_ms,overlap_fraction
0,sequential,54.883327,48.365566,6.514688,0.000000
0,concurrent,50.865856,50.861984,14.058496,0.216490
1,concurrent,51.058689,51.054592,14.060544,0.215871
1,sequential,54.869663,48.336895,6.530048,0.000000
2,sequential,54.638241,48.022530,6.611968,0.000000
2,concurrent,50.893120,50.887680,14.046208,0.216232
3,concurrent,51.360481,51.357601,14.306304,0.217828
3,sequential,54.937599,48.291840,6.642688,0.000000
4,sequential,54.888447,48.378880,6.506496,0.000000
4,concurrent,50.995201,50.990398,13.991936,0.215245
5,concurrent,50.935425,50.932320,13.930496,0.214721
5,sequential,54.978561,48.474304,6.501376,0.000000
6,sequential,54.685310,48.153599,6.526976,0.000000
6,concurrent,50.743969,50.739201,13.905920,0.215038
7,concurrent,51.248833,51.244926,14.061568,0.215257
7,sequential,54.952961,48.365791,6.584320,0.000000
8,sequential,54.740799,48.218113,6.520032,0.000000
8,concurrent,51.119102,51.113983,14.117888,0.216348
9,concurrent,51.145634,51.141632,14.076928,0.215781
9,sequential,54.888447,48.377857,6.506496,0.000000
10,sequential,54.727585,48.215038,6.509888,0.000000
10,concurrent,50.880512,50.875393,13.970432,0.215362
11,concurrent,51.064610,51.059711,13.980672,0.214878
11,sequential,54.889378,48.354305,6.531072,0.000000
12,sequential,54.619873,48.043007,6.574080,0.000000
12,concurrent,50.912640,50.907135,13.803520,0.213226
13,concurrent,50.976513,50.973598,13.868032,0.213830
13,sequential,54.908482,48.346111,6.558720,0.000000
14,sequential,54.874912,48.362495,6.508544,0.000000
14,concurrent,51.041279,51.037186,14.146560,0.216963
15,concurrent,51.202847,51.200001,14.128128,0.216220
15,sequential,54.930431,48.417793,6.509920,0.000000
16,sequential,54.721535,48.148479,6.569984,0.000000
16,concurrent,50.840576,50.837055,14.087168,0.216924
17,concurrent,51.048225,51.045376,14.152704,0.217029
17,sequential,54.920895,48.349182,6.567936,0.000000
18,sequential,54.761471,48.229378,6.529024,0.000000
18,concurrent,51.035809,51.031712,14.114816,0.216600
19,concurrent,50.963455,50.960384,14.045184,0.216014
19,sequential,54.951935,48.448513,6.499328,0.000000
20,sequential,54.799358,48.271358,6.524928,0.000000
20,concurrent,50.827263,50.823170,13.942784,0.215216
21,concurrent,51.246078,51.243713,14.115840,0.215936
21,sequential,55.079937,48.546818,6.530048,0.000000
22,sequential,54.683647,48.110592,6.569984,0.000000
22,concurrent,50.944801,50.940704,14.129152,0.217075
23,concurrent,51.119102,51.116032,14.197760,0.217331
23,sequential,54.771713,48.215038,6.553824,0.000000
24,sequential,54.949886,48.448513,6.498304,0.000000
24,concurrent,50.845695,50.841599,13.878272,0.214373
25,concurrent,51.031170,51.027969,13.988864,0.215108
25,sequential,54.807552,48.290817,6.513664,0.000000
26,sequential,54.543362,47.940609,6.599680,0.000000
26,concurrent,51.122177,51.118080,14.152704,0.216768
27,concurrent,51.002369,50.999969,13.991936,0.215250
27,sequential,55.055359,48.478207,6.574080,0.000000
28,sequential,54.758400,48.238689,6.516736,0.000000
28,concurrent,51.106720,51.101631,14.192640,0.217286
29,concurrent,51.082241,51.079166,14.153728,0.216925
29,sequential,54.974014,48.464001,6.505472,0.000000
30,sequential,54.835201,48.282848,6.549504,0.000000
30,concurrent,50.801376,50.796543,13.983744,0.215790
31,concurrent,51.266560,51.264290,14.212096,0.217022
31,sequential,54.959103,48.434177,6.520832,0.000000
32,sequential,54.637569,48.068607,6.566208,0.000000
32,concurrent,51.022846,51.019550,14.081024,0.216246
33,concurrent,51.257343,51.254272,14.254080,0.217545
33,sequential,54.874912,48.327679,6.544384,0.000000
34,sequential,54.961151,48.464897,6.493184,0.000000
34,concurrent,50.801662,50.798206,13.988864,0.215867
35,concurrent,51.161087,51.158016,14.156800,0.216700
35,sequential,55.015423,48.379906,6.632448,0.000000
36,sequential,55.122944,48.527359,6.592512,0.000000
36,concurrent,51.126270,51.121983,13.852672,0.213135
37,concurrent,51.108383,51.105343,13.926400,0.214101
37,sequential,54.904510,48.365566,6.536192,0.000000
38,sequential,54.631424,48.114910,6.513664,0.000000
38,concurrent,51.110912,51.105793,14.241792,0.217861
39,concurrent,51.087070,51.083904,13.949952,0.214454
39,sequential,54.988480,48.473087,6.512640,0.000000
40,sequential,54.802338,48.252930,6.546432,0.000000
40,concurrent,50.791424,50.786304,14.050304,0.216624
41,concurrent,51.092480,51.088959,14.177280,0.217168
41,sequential,54.999039,48.432129,6.562816,0.000000
42,sequential,54.772610,48.195808,6.574080,0.000000
42,concurrent,51.074818,51.070881,14.066688,0.215893
43,concurrent,51.245056,51.241985,14.210048,0.217059
43,sequential,54.772385,48.228382,6.541312,0.000000
44,sequential,54.969185,48.444416,6.521856,0.000000
44,concurrent,50.915905,50.910210,14.033920,0.216004
45,concurrent,51.157089,51.153919,14.106624,0.216110
45,sequential,54.889473,48.355328,6.531072,0.000000
46,sequential,54.770592,48.164864,6.602752,0.000000
46,concurrent,51.071968,51.067871,14.054400,0.215753
47,concurrent,51.160065,51.157696,14.187520,0.217080
47,sequential,55.031807,48.471039,6.557696,0.000000
48,sequential,54.750881,48.231422,6.516736,0.000000
48,concurrent,51.104767,51.100674,14.218240,0.217612
49,concurrent,51.040287,51.037186,14.066688,0.216018
49,sequential,55.236607,48.706558,6.526976,0.000000
50,sequential,54.785023,48.252930,6.529024,0.000000
50,concurrent,50.776066,50.771969,13.948928,0.215461
51,concurrent,51.274754,51.272610,14.093312,0.215574
51,sequential,55.177952,48.590847,6.584320,0.000000
52,sequential,54.788097,48.207870,6.577408,0.000000
52,concurrent,51.138432,51.134369,14.274560,0.218174
53,concurrent,51.312607,51.309566,14.304256,0.217960
53,sequential,55.112640,48.508926,6.600704,0.000000
54,sequential,54.985474,48.477184,6.505472,0.000000
54,concurrent,50.882526,50.877441,13.930496,0.214872
55,concurrent,51.238911,51.234818,14.240768,0.217435
55,sequential,54.913025,48.395264,6.514688,0.000000
56,sequential,54.809376,48.196609,6.609920,0.000000
56,concurrent,51.190624,51.186562,14.238720,0.217571
57,concurrent,51.122177,51.119102,14.107648,0.216239
57,sequential,54.939648,48.360447,6.576128,0.000000
58,sequential,54.752254,48.235519,6.513664,0.000000
58,concurrent,51.169281,51.163136,14.171136,0.216808
59,concurrent,51.307522,51.303425,14.069760,0.215160
59,sequential,55.331841,48.826366,6.502400,0.000000
60,sequential,55.035744,48.535553,6.496256,0.000000
60,concurrent,50.953312,50.948097,13.789184,0.212922
61,concurrent,51.102592,51.099648,14.005248,0.215073
61,sequential,54.985729,48.438271,6.544384,0.000000
62,sequential,54.744064,48.179199,6.561792,0.000000
62,concurrent,51.122177,51.117825,13.979648,0.214683
63,concurrent,51.209217,51.205826,14.090240,0.215738
63,sequential,55.085056,48.474369,6.606848,0.000000
64,sequential,55.096127,48.577538,6.515712,0.000000
64,concurrent,51.130367,51.124226,14.030848,0.215251
65,concurrent,51.165184,51.162113,14.061568,0.215543
65,sequential,54.987778,48.481281,6.502400,0.000000
66,sequential,54.864895,48.190464,6.670720,0.000000
66,concurrent,51.021984,51.016640,13.814784,0.213005
67,concurrent,51.384319,51.381248,13.988864,0.213948
67,sequential,55.013184,48.409599,6.600704,0.000000
68,sequential,55.051041,48.486401,6.560768,0.000000
68,concurrent,51.062782,51.058689,14.047232,0.215697
69,concurrent,51.311264,51.308319,14.166016,0.216315
69,sequential,54.835903,48.309250,6.523968,0.000000
70,sequential,54.959904,48.438271,6.518784,0.000000
70,concurrent,50.820992,50.815712,13.971456,0.215570
71,concurrent,51.193855,51.191425,14.141440,0.216415
71,sequential,54.998016,48.456703,6.538464,0.000000
72,sequential,54.953728,48.427010,6.523904,0.000000
72,concurrent,50.708481,50.703362,14.077952,0.217236
73,concurrent,50.980961,50.978367,14.216192,0.218018
73,sequential,54.682369,48.154625,6.524928,0.000000
74,sequential,54.581249,48.090305,6.488320,0.000000
74,concurrent,50.887680,50.881535,14.131200,0.217266
75,concurrent,50.623360,50.620415,13.970432,0.216246
75,sequential,54.735870,48.264191,6.468608,0.000000
76,sequential,54.424225,47.889408,6.532096,0.000000
76,concurrent,50.779137,50.774208,14.004224,0.216110
77,concurrent,50.971455,50.968513,14.010368,0.215569
77,sequential,54.657761,48.115711,6.539520,0.000000
