iteration,mode,makespan_ms,prefill_ms,decode_ms,overlap_fraction
0,sequential,95.534081,88.767487,6.763552,0.000000
0,concurrent,91.253761,91.249664,23.556095,0.205146
1,concurrent,91.534332,91.531197,23.736320,0.205897
1,sequential,95.494141,88.721825,6.768640,0.000000
2,sequential,95.450111,88.664062,6.782976,0.000000
2,concurrent,91.313148,91.309059,23.522305,0.204807
3,concurrent,91.622398,91.619331,23.576576,0.204638
3,sequential,95.673920,88.899582,6.768640,0.000000
4,sequential,95.364830,88.641533,6.720512,0.000000
4,concurrent,91.275261,91.270142,23.407616,0.204072
5,concurrent,91.433891,91.429886,23.799809,0.206508
5,sequential,95.588348,88.859650,6.725632,0.000000
6,sequential,95.116867,88.340515,6.772736,0.000000
6,concurrent,91.629601,91.626083,23.788544,0.206083
7,concurrent,91.616287,91.612900,23.718912,0.205629
7,sequential,95.480835,88.708099,6.769664,0.000000
8,sequential,95.416321,88.630272,6.782976,0.000000
8,concurrent,91.262177,91.257858,23.544832,0.205052
9,concurrent,91.829857,91.827011,23.589888,0.204364
9,sequential,95.621117,88.864769,6.753280,0.000000
10,sequential,95.544319,88.781822,6.758720,0.000000
10,concurrent,91.484062,91.479042,23.648256,0.205366
11,concurrent,91.450371,91.446274,23.680000,0.205652
11,sequential,95.625214,88.885246,6.736896,0.000000
12,sequential,95.253372,88.503296,6.747136,0.000000
12,concurrent,91.040771,91.036674,23.433216,0.204675
13,concurrent,91.694077,91.690308,23.629824,0.204874
13,sequential,95.595520,88.854530,6.737920,0.000000
14,sequential,95.352638,88.454147,6.895616,0.000000
14,concurrent,91.538429,91.534332,23.333887,0.203100
15,concurrent,91.830269,91.826180,23.661568,0.204848
15,sequential,95.591011,88.832001,6.755328,0.000000
16,sequential,95.449089,88.687614,6.756768,0.000000
16,concurrent,91.432961,91.427841,23.661568,0.205548
17,concurrent,91.437057,91.433983,23.813120,0.206600
17,sequential,95.950493,89.141342,6.805504,0.000000
18,sequential,95.308609,88.566788,6.738944,0.000000
18,concurrent,91.280350,91.275261,23.543808,0.205007
19,concurrent,91.487038,91.484161,23.702528,0.205750
19,sequential,95.845284,89.098244,6.744064,0.000000
20,sequential,95.236031,88.481789,6.750208,0.000000
20,concurrent,91.188225,91.184799,23.487488,0.204793
21,concurrent,91.610115,91.607040,23.570433,0.204618
21,sequential,95.620094,88.835075,6.781952,0.000000
22,sequential,95.482880,88.720451,6.759584,0.000000
22,concurrent,91.376640,91.371521,23.620607,0.205366
23,concurrent,91.682816,91.679741,23.758848,0.205787
23,sequential,95.678467,88.892418,6.782976,0.000000
24,sequential,95.556610,88.784897,6.767616,0.000000
24,concurrent,91.404289,91.399300,23.699455,0.205862
25,concurrent,91.461441,91.458626,23.724031,0.205944
25,sequential,95.930016,89.189377,6.736896,0.000000
26,sequential,95.316673,88.569855,6.743456,0.000000
26,concurrent,91.406334,91.401665,23.562241,0.204913
27,concurrent,91.696159,91.693054,23.836672,0.206298
27,sequential,95.599236,88.875008,6.720512,0.000000
28,sequential,95.257599,88.472572,6.780928,0.000000
28,concurrent,91.345474,91.341507,23.592960,0.205239
29,concurrent,91.828224,91.824127,23.740416,0.205395
29,sequential,95.844353,89.054207,6.786048,0.000000
30,sequential,95.568893,88.816643,6.749184,0.000000
30,concurrent,91.518974,91.513855,23.605247,0.205006
31,concurrent,91.849731,91.843422,23.354368,0.202678
31,sequential,95.893501,89.090050,6.800384,0.000000
32,sequential,95.497215,88.763580,6.730752,0.000000
32,concurrent,91.410431,91.406174,23.520256,0.204618
33,concurrent,91.747330,91.743324,23.900160,0.206636
33,sequential,95.839233,89.097214,6.738976,0.000000
